"rsp_id","rsp_age","rsp_age_cat","rsp_gender","rsp_edu","rsp_pol_int","rsp_pol_party","rsp_pol_scale","rsp_pol_side","rsp_trust","rsp_att_punish","rsp_att_redist","rsp_att_selfeffort","rsp_att_gayrights","rsp_att_eu","rsp_att_imm","rsp_para_interface","rsp_para_device","exp_post","src_n","src_adds","src_comments","src_established","src_ethics","src_party","src_readers","src_soft","src_status","src_post","src_party_matched"
1000103,5,"60 yrs and above","Male","Higher",3,"Conservative Party",9,"Right",7,6,3,NA,5,NA,6,"pc or generic",NA,1,1,"Have advertisements (with native adv)","Have comment field (with journalists participating)","About 100 years ago","Few violations","Progress Party","Many readers","No entertainment news","Online newpaper",1,"Does not endorse prefered party"
1000019,5,"30-59 yrs","Male","Higher",4,"Social Democratic Party",6,"Centre",8,6,6,2,7,7,3,"pc or generic",NA,2,1,"Have advertisements (with native adv)","Have comment field (with journalists participating)","About 100 years ago","Few violations","Christian Democratic Party","Many readers","No entertainment news","Online newpaper",0,"Does not endorse prefered party"
1001524,7,"60 yrs and above","Male","Higher",5,"Conservative Party",9,"Right",7,6,6,7,6,3,6,"pc or generic",NA,1,1,"Have no advertisements","Have comment field (without journalists participating)","About 50 years ago","Few violations","Socialist Left Party","Many readers","Some entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1002514,3,"30-59 yrs","Male","Lower or intermediate",4,"Conservative Party",7,"Right",8,4,5,6,6,3,4,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have no comment field","About 50 years ago","Many violations","Progress Party","Many readers","No entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1003132,1,"18-29 yrs","Male","Lower or intermediate",4,"Conservative Party",8,"Right",7,6,5,7,7,4,2,"pc or generic",NA,2,1,"Have advertisements (without native adv)","Have no comment field","About 50 years ago","No violations","Red Party","Few readers","Some entertainment news","Blog/website",0,"Does not endorse prefered party"
1001585,5,"60 yrs and above","Female","Higher",4,"Conservative Party",5,"Left",8,5,2,4,5,NA,5,"pc or generic",NA,1,1,"Have no advertisements","Have comment field (with journalists participating)","About 50 years ago","Few violations","Conservative Party","Few readers","No entertainment news","Online newpaper",1,"Endorses prefered party"
1004598,3,"30-59 yrs","Male","Lower or intermediate",4,"Conservative Party",7,"Right",5,7,3,6,6,6,3,"touch","Did not use smart phone",2,1,"Have no advertisements","Have no comment field","About 100 years ago","Many violations","Socialist Left Party","Many readers","Primarily entertainment news","Offline and online newspaper",0,"Does not endorse prefered party"
1003427,5,"30-59 yrs","Male","Lower or intermediate",4,"Red Party",7,"Right",6,6,6,5,6,5,2,"pc or generic",NA,1,1,"Have no advertisements","Have comment field (without journalists participating)","About 5 years ago","No violations","Agrarian Party","Few readers","No entertainment news","Online newpaper",1,"Does not endorse prefered party"
1006681,3,"30-59 yrs","Female","Higher",4,"Red Party",6,"Centre",6,4,5,4,6,4,2,"pc or generic",NA,2,1,"Have advertisements (without native adv)","Have no comment field","About 100 years ago","No violations","Social Democratic Party","Many readers","Primarily entertainment news","Blog/website",0,"Does not endorse prefered party"
1002078,6,"60 yrs and above","Female","Higher",4,"Progress Party",9,"Right",5,4,3,5,6,6,7,"touch","Did not use smart phone",1,1,"Have advertisements (without native adv)","Have comment field (with journalists participating)","About 100 years ago","No violations","Liberal Party","Few readers","Primarily entertainment news","Online newpaper",1,"Does not endorse prefered party"
1003168,2,"30-59 yrs","Female","Higher",3,"Liberal Party",5,"Left",5,5,5,5,7,4,2,"touch","Did not use smart phone",2,1,"Have advertisements (without native adv)","Have comment field (with journalists participating)","About 100 years ago","Many violations","Agrarian Party","Many readers","Primarily entertainment news","Blog/website",0,"Does not endorse prefered party"
1001037,6,"60 yrs and above","Male","Lower or intermediate",3,NA,8,"Right",7,5,6,3,1,6,5,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have comment field (without journalists participating)","About 50 years ago","No violations","Christian Democratic Party","Many readers","Some entertainment news","Online newpaper",1,NA
1008572,4,"30-59 yrs","Male","Higher",3,"Social Democratic Party",5,"Left",5,2,5,NA,6,4,2,"pc or generic",NA,1,1,"Have no advertisements","Have comment field (with journalists participating)","About 100 years ago","Few violations","Liberal Party","Many readers","No entertainment news","Blog/website",1,"Does not endorse prefered party"
1010170,3,"30-59 yrs","Male","Lower or intermediate",3,"Christian Democratic Party",9,"Right",8,4,5,5,6,4,3,"touch","Did not use smart phone",1,1,"Have advertisements (with native adv)","Have comment field (without journalists participating)","About 50 years ago","Few violations","No party","Many readers","Primarily entertainment news","Blog/website",1,"No party endorsed"
1006270,5,"60 yrs and above","Female","Higher",4,"Conservative Party",9,"Right",10,2,3,6,2,2,4,"pc or generic",NA,1,1,"Have no advertisements","Have no comment field","About 50 years ago","No violations","Conservative Party","Few readers","No entertainment news","Offline and online newspaper",1,"Endorses prefered party"
1008299,3,"30-59 yrs","Female","Lower or intermediate",3,"Conservative Party",8,"Right",7,6,3,4,7,4,3,"pc or generic",NA,2,1,"Have advertisements (without native adv)","Have comment field (without journalists participating)","About 5 years ago","No violations","Red Party","Many readers","Some entertainment news","Offline and online newspaper",0,"Does not endorse prefered party"
1008643,4,"30-59 yrs","Male","Higher",4,"Green Party",3,"Left",9,5,6,5,6,6,2,"pc or generic",NA,2,1,"Have advertisements (with native adv)","Have no comment field","About 100 years ago","No violations","Socialist Left Party","Many readers","Primarily entertainment news","Offline and online newspaper",0,"Does not endorse prefered party"
1010883,3,"30-59 yrs","Female","Higher",1,"Conservative Party",7,"Right",4,7,2,6,7,6,4,"pc or generic",NA,2,1,"Have no advertisements","Have comment field (without journalists participating)","About 5 years ago","Many violations","Green Party","Many readers","Primarily entertainment news","Blog/website",0,"Does not endorse prefered party"
1006568,6,"60 yrs and above","Male","Higher",4,"Social Democratic Party",4,"Left",6,5,7,NA,2,NA,4,"pc or generic",NA,2,1,"Have advertisements (with native adv)","Have comment field (with journalists participating)","About 50 years ago","Many violations","Social Democratic Party","Many readers","Some entertainment news","Offline and online newspaper",0,"Endorses prefered party"
1005302,4,"30-59 yrs","Male","Higher",4,NA,9,"Right",9,5,5,7,2,6,7,"pc or generic",NA,1,1,"Have advertisements (with native adv)","Have comment field (without journalists participating)","About 5 years ago","Many violations","Conservative Party","Many readers","No entertainment news","Offline and online newspaper",1,NA
1005609,6,"60 yrs and above","Male","Lower or intermediate",4,"Progress Party",10,"Right",1,7,5,6,7,7,7,"pc or generic","Did not use smart phone",1,1,"Have no advertisements","Have comment field (with journalists participating)","About 100 years ago","Many violations","Social Democratic Party","Many readers","Primarily entertainment news","Blog/website",1,"Does not endorse prefered party"
1002277,5,"30-59 yrs","Female","Higher",4,"Green Party",5,"Left",9,6,5,6,6,6,5,"pc or generic",NA,2,1,"Have advertisements (without native adv)","Have comment field (with journalists participating)","About 50 years ago","Many violations","Agrarian Party","Few readers","No entertainment news","Offline and online newspaper",0,"Does not endorse prefered party"
1009804,2,"30-59 yrs","Male","Lower or intermediate",4,"Social Democratic Party",5,"Left",7,6,3,3,7,3,2,"pc or generic",NA,1,1,"Have no advertisements","Have comment field (without journalists participating)","About 50 years ago","Few violations","Agrarian Party","Many readers","No entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
